UID,iso2,iso3,code3,FIPS,Admin2,Province_State,,,Population
16,AS,ASM,16,60,,American Samoa,,,55465
316,GU,GUM,316,66,,Guam,,,165768
580,MP,MNP,580,69,,Northern Mariana Islands,,,56882
630,PR,PRI,630,72,,Puerto Rico,,,3194000
850,VI,VIR,850,78,,Virgin Islands,,,106977
84001001,US,USA,840,1001,Autauga,Alabama,Alabama,Autauga County,55869
84001003,US,USA,840,1003,Baldwin,Alabama,Alabama,Baldwin County,223234
84001005,US,USA,840,1005,Barbour,Alabama,Alabama,Barbour County,24686
84001007,US,USA,840,1007,Bibb,Alabama,Alabama,Bibb County,22394
84001009,US,USA,840,1009,Blount,Alabama,Alabama,Blount County,57826
84001011,US,USA,840,1011,Bullock,Alabama,Alabama,Bullock County,10101
84001013,US,USA,840,1013,Butler,Alabama,Alabama,Butler County,19448
84001015,US,USA,840,1015,Calhoun,Alabama,Alabama,Calhoun County,113605
84001017,US,USA,840,1017,Chambers,Alabama,Alabama,Chambers County,33254
84001019,US,USA,840,1019,Cherokee,Alabama,Alabama,Cherokee County,26196
84001021,US,USA,840,1021,Chilton,Alabama,Alabama,Chilton County,44428
84001023,US,USA,840,1023,Choctaw,Alabama,Alabama,Choctaw County,12589
84001025,US,USA,840,1025,Clarke,Alabama,Alabama,Clarke County,23622
84001027,US,USA,840,1027,Clay,Alabama,Alabama,Clay County,13235
84001029,US,USA,840,1029,Cleburne,Alabama,Alabama,Cleburne County,14910
84001031,US,USA,840,1031,Coffee,Alabama,Alabama,Coffee County,52342
84001033,US,USA,840,1033,Colbert,Alabama,Alabama,Colbert County,55241
84001035,US,USA,840,1035,Conecuh,Alabama,Alabama,Conecuh County,12067
84001037,US,USA,840,1037,Coosa,Alabama,Alabama,Coosa County,10663
84001039,US,USA,840,1039,Covington,Alabama,Alabama,Covington County,37049
84001041,US,USA,840,1041,Crenshaw,Alabama,Alabama,Crenshaw County,13772
84001043,US,USA,840,1043,Cullman,Alabama,Alabama,Cullman County,83768
84001045,US,USA,840,1045,Dale,Alabama,Alabama,Dale County,49172
84001047,US,USA,840,1047,Dallas,Alabama,Alabama,Dallas County,37196
84001049,US,USA,840,1049,DeKalb,Alabama,Alabama,DeKalb County,71513
84001051,US,USA,840,1051,Elmore,Alabama,Alabama,Elmore County,81209
84001053,US,USA,840,1053,Escambia,Alabama,Alabama,Escambia County,36633
84001055,US,USA,840,1055,Etowah,Alabama,Alabama,Etowah County,102268
84001057,US,USA,840,1057,Fayette,Alabama,Alabama,Fayette County,16302
84001059,US,USA,840,1059,Franklin,Alabama,Alabama,Franklin County,31362
84001061,US,USA,840,1061,Geneva,Alabama,Alabama,Geneva County,26271
84001063,US,USA,840,1063,Greene,Alabama,Alabama,Greene County,8111
84001065,US,USA,840,1065,Hale,Alabama,Alabama,Hale County,14651
84001067,US,USA,840,1067,Henry,Alabama,Alabama,Henry County,17205
84001069,US,USA,840,1069,Houston,Alabama,Alabama,Houston County,105882
84001071,US,USA,840,1071,Jackson,Alabama,Alabama,Jackson County,51626
84001073,US,USA,840,1073,Jefferson,Alabama,Alabama,Jefferson County,658573
84001075,US,USA,840,1075,Lamar,Alabama,Alabama,Lamar County,13805
84001077,US,USA,840,1077,Lauderdale,Alabama,Alabama,Lauderdale County,92729
84001079,US,USA,840,1079,Lawrence,Alabama,Alabama,Lawrence County,32924
84001081,US,USA,840,1081,Lee,Alabama,Alabama,Lee County,164542
84001083,US,USA,840,1083,Limestone,Alabama,Alabama,Limestone County,98915
84001085,US,USA,840,1085,Lowndes,Alabama,Alabama,Lowndes County,9726
84001087,US,USA,840,1087,Macon,Alabama,Alabama,Macon County,18068
84001089,US,USA,840,1089,Madison,Alabama,Alabama,Madison County,372909
