Province/State,Country/Region,Lat,Long,Population
,Afghanistan,33,65,37170000
,Albania,41.1533,20.1683,2854191
,Algeria,28.0339,1.6596,43053054
,Andorra,42.5063,1.5218,77142
,Angola,-11.2027,17.8739,31825295
,Antigua and Barbuda,17.0608,-61.7964,97118
,Argentina,-38.4161,-63.6167,44938712
,Armenia,40.0691,45.0382,2957731
Australian Capital Territory,Australia,-35.4735,149.0124,427419
New South Wales,Australia,-33.8688,151.2093,8128984
Northern Territory,Australia,-12.4634,130.8456,244761
Queensland,Australia,-28.0167,153.4,5129996
South Australia,Australia,-34.9285,138.6007,1759184
Tasmania,Australia,-41.4545,145.9707,537012
Victoria,Australia,-37.8136,144.9631,6651074
Western Australia,Australia,-31.9505,115.8605,2639080
,Austria,47.5162,14.5501,8877067
,Azerbaijan,40.1431,47.5769,10023318
,Bahamas,25.0343,-77.3963,389482
,Bahrain,26.0275,50.55,1641172
,Bangladesh,23.685,90.3563,163046161
,Barbados,13.1939,-59.5432,287025
,Belarus,53.7098,27.9534,9466856
,Belgium,50.8333,4,11484055
,Belize,13.1939,-59.5432,390353
,Benin,9.3077,2.3158,11801151
,Bhutan,27.5142,90.4336,763092
,Bolivia,-16.2902,-63.5887,11513100
,Bosnia and Herzegovina,43.9159,17.6791,3301000
,Botswana,-22.3285,24.6849,2303697
,Brazil,-14.235,-51.9253,211049527
,Brunei,4.5353,114.7277,433285
,Bulgaria,42.7339,25.4858,6975761
,Burkina Faso,12.2383,-1.5616,20321378
,Burma,21.9162,95.956,53710000
,Burundi,-3.3731,29.9189,11530580
,Cabo Verde,16.5388,-23.0418,549935
,Cambodia,11.55,104.9167,16486542
,Cameroon,3.848,11.5021,25876380
Alberta,Canada,53.9333,-116.5765,4428247
British Columbia,Canada,49.2827,-123.1207,5120184
Grand Princess,Canada,37.6489,-122.6655,3100
Manitoba,Canada,53.7609,-98.8139,1379121
New Brunswick,Canada,46.5653,-66.4619,780890
Newfoundland and Labrador,Canada,53.1355,-57.6604,520437
Nova Scotia,Canada,44.682,-63.7443,978274
Ontario,Canada,51.2538,-85.3232,14745040
Prince Edward Island,Canada,46.5107,-63.4168,158717
Quebec,Canada,52.9399,-73.5491,8552362
Saskatchewan,Canada,52.9399,-106.4509,1181987
Diamond Princess,Canada,0,0,3770
Northwest Territories,Canada,64.8255,-124.8457,44982
